DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2016,8:35,BRONX,10467,40.8653646,-73.8700003,"(40.8653646, -73.8700003)",,,R/O 612 ALLERTON AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363738,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/01/2016,8:30,,,,,,SOUTH CONDUIT AVENUE,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,3363561,PASSENGER VEHICLE,,,,
01/01/2016,8:20,,,,,,WARWICK STREET,NEW LOTS AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,,,3363803,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
01/01/2016,8:17,QUEENS,11374,40.7270584,-73.8706309,"(40.7270584, -73.8706309)",WOODHAVEN BOULEVARD,62 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3363585,LIVERY VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2016,8:00,,,40.7179035,-73.8320112,"(40.7179035, -73.8320112)",,,,5,0,0,0,0,0,5,0,Unspecified,,,,,3363983,PASSENGER VEHICLE,,,,
01/01/2016,8:00,MANHATTAN,10040,40.8609571,-73.9265034,"(40.8609571, -73.9265034)",ARDEN STREET,NAGLE AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3363419,PASSENGER VEHICLE,,,,
01/01/2016,8:00,,,40.7179035,-73.8320112,"(40.7179035, -73.8320112)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363979,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/01/2016,8:00,,,,,,31 STREET,HOYT AVENUE NORTH,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3364425,PASSENGER VEHICLE,TAXI,,,
01/01/2016,8:00,BROOKLYN,11230,40.628119,-73.9568484,"(40.628119, -73.9568484)",OCEAN AVENUE,AVENUE I,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363514,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,8:00,BRONX,10460,40.8367106,-73.8681843,"(40.8367106, -73.8681843)",MERRILL STREET,ST LAWRENCE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363431,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,7:56,MANHATTAN,10027,40.8139383,-73.9484189,"(40.8139383, -73.9484189)",8 AVENUE,WEST 131 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,3363672,PASSENGER VEHICLE,OTHER,,,
01/01/2016,7:55,,,40.7965332,-73.9759553,"(40.7965332, -73.9759553)",,,,0,0,0,0,0,0,0,0,Outside Car Distraction,,,,,3363654,SPORT UTILITY / STATION WAGON,,,,
01/01/2016,7:31,QUEENS,11370,40.7607274,-73.8910544,"(40.7607274, -73.8910544)",77 STREET,30 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3363997,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,7:30,BROOKLYN,11225,40.6586933,-73.9504168,"(40.6586933, -73.9504168)",NOSTRAND AVENUE,FENIMORE STREET,,7,0,0,0,0,0,7,0,Physical Disability,Physical Disability,,,,3363517,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2016,7:30,BROOKLYN,11220,40.6418837,-74.0064968,"(40.6418837, -74.0064968)",7 AVENUE,51 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3365386,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,OTHER,,
