DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/10/2016,23:30,QUEENS,11101,40.7355527,-73.9347786,"(40.7355527, -73.9347786)",GREENPOINT AVENUE,BRADLEY AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3369630,SPORT UTILITY / STATION WAGON,LIVERY VEHICLE,,,
01/10/2016,23:30,,,40.6749541,-73.8020355,"(40.6749541, -73.8020355)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3368963,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,23:40,BROOKLYN,11206,40.6982647,-73.9339856,"(40.6982647, -73.9339856)",BUSHWICK AVENUE,JEFFERSON STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3368802,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/10/2016,23:40,MANHATTAN,10014,40.7286048,-74.0053146,"(40.7286048, -74.0053146)",WEST HOUSTON STREET,VARICK STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Turning Improperly,,,,3368481,LIVERY VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,23:45,BRONX,10466,40.8850299,-73.8431455,"(40.8850299, -73.8431455)",SCHIEFFELIN AVENUE,EAST 229 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368634,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,23:45,QUEENS,11420,40.6656865,-73.8204297,"(40.6656865, -73.8204297)",NORTH CONDUIT AVENUE,121 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368864,SPORT UTILITY / STATION WAGON,TAXI,,,
01/10/2016,23:50,BROOKLYN,11205,40.6980388,-73.9628402,"(40.6980388, -73.9628402)",FLUSHING AVENUE,WILLIAMSBURG STREET WEST,,0,0,0,0,0,0,0,0,Cell Phone (hands-free),Unspecified,,,,3368821,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/10/2016,2:00,BROOKLYN,11208,40.6824129,-73.8690193,"(40.6824129, -73.8690193)",LINCOLN AVENUE,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368208,LIVERY VEHICLE,UNKNOWN,,,
01/10/2016,12:23,BROOKLYN,11207,40.6806649,-73.9026216,"(40.6806649, -73.9026216)",BUSHWICK AVENUE,CONWAY STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368206,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,12:30,QUEENS,11413,40.6762141,-73.7556379,"(40.6762141, -73.7556379)",SPRINGFIELD BOULEVARD,CARSON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368307,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,12:30,QUEENS,11434,40.6803888,-73.7903355,"(40.6803888, -73.7903355)",118 AVENUE,152 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368395,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,12:37,,,,,,157 STREET,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368349,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/10/2016,12:40,BROOKLYN,11213,40.6685062,-73.9256052,"(40.6685062, -73.9256052)",EASTERN PARKWAY,BUFFALO AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3369454,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,12:42,MANHATTAN,10030,40.8226286,-73.9435056,"(40.8226286, -73.9435056)",WEST 144 STREET,BRADHURST AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3368021,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,12:49,,,,,,ASTORIA BOULEVARD,77 STREET,,0,1,0,0,0,0,0,1,Unspecified,,,,,3368435,,,,,
01/10/2016,12:50,BROOKLYN,11201,40.696197,-73.9887629,"(40.696197, -73.9887629)",ADAMS STREET,TILLARY STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3368244,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/10/2016,12:55,QUEENS,11373,40.7339121,-73.8757197,"(40.7339121, -73.8757197)",SEABURY STREET,56 AVENUE,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3368925,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,12:55,QUEENS,11374,40.7302934,-73.8559144,"(40.7302934, -73.8559144)",99 STREET,64 ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368380,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:00,BRONX,10462,40.8333663,-73.8513801,"(40.8333663, -73.8513801)",NEWBOLD AVENUE,CASTLEHILL AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3368598,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/10/2016,13:00,BROOKLYN,11208,40.6724755,-73.883073,"(40.6724755, -73.883073)",BELMONT AVENUE,ELTON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368199,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/10/2016,13:00,BROOKLYN,11234,40.5965113,-73.9078755,"(40.5965113, -73.9078755)",FLATBUSH AVENUE,SHORE PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3368118,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/10/2016,13:00,QUEENS,11378,40.7244289,-73.914871,"(40.7244289, -73.914871)",56 DRIVE,56 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3368365,TAXI,PASSENGER VEHICLE,,,
01/10/2016,13:00,,,40.6977347,-73.8140794,"(40.6977347, -73.8140794)",ATLANTIC AVENUE,VAN WYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3368267,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
01/10/2016,13:00,,,,,,FTELEY AVENUE,CROSS BRONX EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3368597,PASSENGER VEHICLE,UNKNOWN,,,
01/10/2016,13:00,BROOKLYN,11207,40.6606564,-73.8857861,"(40.6606564, -73.8857861)",LINDEN BOULEVARD,VAN SICLEN AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,3368200,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
01/10/2016,13:05,STATEN ISLAND,10306,40.5614473,-74.1154515,"(40.5614473, -74.1154515)",FALCON AVENUE,PETER AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3368462,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/10/2016,13:05,,,40.6658397,-73.7573847,"(40.6658397, -73.7573847)",,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3368859,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:10,,,,,,CLOVE ROAD,HYLAN BOULEVARD,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3368464,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/10/2016,13:15,BROOKLYN,11218,40.6503405,-73.9746115,"(40.6503405, -73.9746115)",OCEAN PARKWAY,EAST 7 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3368182,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
