City,COL,STEM_pay
San Jose CA,4,1
Houston TX,65,2
San Francisco CA,3,3
Washington DC-VA,6,4
Seattle WA,18,5
Bethesda MD,12,6
Oakland CA,7,7
Kennewick-Richland WA,63,8
Framingham MA,9,9
New York NY,1,10
Durham NC,50,11
Huntsville AL,74,12
Newark NJ,13,13
Boston MA,10,14
Dallas TX,69,15
Anchorage AK,14,16
Baltimore MD,20,17
Orange County CA,5,18
San Diego CA,11,19
Los Angeles CA,8,20
Austin TX,56,21
Gainesville FL,41,22
Fort Worth TX,75,23
Philadelphia PA,15,24
Providence RI,16,25
Wilmington DE,29,26
Denver CO,32,27
Portland OR,25,28
Hartford CT,17,29
Detroit MI,43,30
Manchester NH,22,31
Knoxville TN,82,32
Dayton OH,73,33
Charlottesville VA,28,34
Oklahoma City OK,71,35
Sacramento CA,24,36
Loveland CO,76,37
Colorado Springs CO,61,38
Richmond VA,30,39
Charlotte NC,58,40
Atlanta GA,55,41
Raleigh NC,46,42
Phoenix AZ,36,43
Minneapolis MN,26,44
Chicago IL,21,45
Salt Lake City UT,37,46
Columbus OH,67,47
Greenville SC,81,48
Albany NY,27,49
Cincinnati OH,57,50
Burlington VT,19,51
Peoria IL,52,52
St. Louis MO,80,53
Wichita KS,70,54
Pittsburgh PA,72,55
Indianapolis IN,85,56
Syracuse NY,34,57
Milwaukee WI,33,58
Jacksonville FL,60,59
Rochester NY,40,60
Harrisburg PA,42,61
Cleveland OH,35,62
Augusta GA,59,63
Kansas City MO,47,64
Honolulu HI,2,65
Baton Rouge LA,53,66
Akron OH,39,67
Nashville TN,83,68
Tampa FL,64,69
Birmingham AL,78,70
Charleston SC,45,71
Omaha NE,84,72
Olympia WA,31,73
Des Moines IA,77,74
Orlando FL,48,75
Grand Rapids MI,79,76
Portland ME,23,77
Cedar Rapids IA,68,78
Columbia SC,38,79
Buffalo NY,54,80
Boise ID,49,81
Fayetteville AR,66,82
Montgomery AL,44,83
Lexington KY,62,84
Little Rock AR,51,85
