rate_mar,year_mar,number_mar,rate_june,year_june,number_june
0.875,2014,1,0.125,2015,2
0.125,2014,16,0.375,2015,5
0.125,2015,2,0.625,2015,5
0.375,2015,1,0.875,2015,5
0.625,2015,7,0.375,2016,1
0.875,2015,3,0.875,2016,1
1.125,2015,1,1.125,2016,1
1.375,2015,2,1.375,2016,4
1.625,2015,1,1.625,2016,3
0.625,2016,1,1.875,2016,1
1.125,2016,1,2.125,2016,1
1.625,2016,6,2.25,2016,1
1.875,2016,3,2.375,2016,1
2.125,2016,1,2.625,2016,1
2.25,2016,1,2.875,2016,2
2.625,2016,1,2,2017,1
3.375,2016,2,2.125,2017,1
3.75,2016,1,2.375,2017,3
2,2017,1,2.625,2017,3
2.625,2017,3,2.875,2017,1
2.875,2017,2,3.125,2017,1
3.125,2017,4,3.375,2017,1
3.375,2017,1,3.625,2017,2
3.625,2017,2,3.75,2017,2
3.75,2017,2,3.875,2017,2
3.875,2017,1,3.25,2018,3
4,2017,1,3.5,2018,5
3,2018,1,3.75,2018,6
3.5,2018,7,4,2018,2
3.75,2018,7,4.25,2018,1
4,2018,2
4.25,2018,1
