lat,long,MSA,PRIM_STATE,shortMSA,AREA,all_total_emp,all_pay_median,non_stem_pay_median,stem_total_emp,stem_total_emp_percent,stem_pay_median,pay_gap,stem_best_job_name,stem_best_job_type,stem_best_job_pay,stem_best_job_locq,stem_best_job_emp,stem_popular_job_name,stem_popular_job_type,stem_popular_job_pay,stem_popular_job_emp,stem_popular_job_locq,stem_popular_job_percentage,stem_locq_popular_job_name,stem_locq_popular_job_pay,stem_locq_popular_job_emp,stem_locq_popular_job_locq,stem_locq_popular_job_percentage
41.0339862,-73.7629097,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",NY,"New York, NY",35644,5391190,45200,57118,287450,5.33,79465,22346,Computer and Information Systems Managers,Technology,156930,1.59,20950,"Software Developers, Applications",Technology,106710,39970,1.46,13.91,Actuaries,122850,2510,2.93,0.873195338
38.895474,-77.036367,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",DC,"Washington, DC",47894,2378260,51120,54585,284520,11.96,88239,33654,Computer and Information Systems Managers,Technology,150000,2.36,13720,"Software Developers, Applications",Technology,108800,30460,2.52,10.71,"Mathematical Science Occupations, All Other",66900,370,13.17,0.130043582
29.7355047,-94.9774274,"Houston-Sugar Land-Baytown, TX",TX,"Houston, TX",26420,2843360,36880,46814,233990,8.23,79833,33018,Architectural and Engineering Managers,Engineering,167660,1.44,5440,Computer Systems Analysts,Technology,90740,15260,1.37,6.52,Petroleum Engineers,152010,11570,16.3,4.944655755
41.8781136,-87.6297982,"Chicago-Joliet-Naperville, IL Metropolitan Division",IL,"Chicago, IL",16974,3751930,37950,49598,226200,6.03,71237,21639,Architectural and Engineering Managers,Engineering,122060,0.87,4360,"Software Developers, Applications",Technology,88630,21730,1.14,9.61,Mathematicians,*,320,3.72,0.141467728
33.7700504,-118.1937395,"Los Angeles-Long Beach-Glendale, CA  Metropolitan Division",CA,"Los Angeles, cA",31084,4056490,38100,52558,218750,5.39,83678,31121,Architectural and Engineering Managers,Engineering,148760,1.2,6460,"Software Developers, Applications",Technology,102310,16010,0.78,7.32,Aerospace Engineers,123640,4440,2.14,2.029714286
37.3253153,-122.0528204,"San Jose-Sunnyvale-Santa Clara, CA",CA,"San Jose, CA",41940,973480,57430,57032,205430,21.1,92764,35732,Architectural and Engineering Managers,Engineering,178510,5.26,6790,"Software Developers, Applications",Technology,137710,33990,6.87,16.55,Computer Hardware Engineers,136240,11620,21.13,5.65642798
42.3600825,-71.0588801,"Boston-Cambridge-Quincy, MA NECTA Division",MA,"Boston, MA",71654,1795230,49850,54904,200360,11.16,81699,26795,Natural Sciences Managers,Science,169900,3.57,2530,"Software Developers, Applications",Technology,106600,20690,2.27,10.33,Biochemists and Biophysicists,104600,3180,7.63,1.587143142
47.6062095,-122.3320708,"Seattle-Bellevue-Everett, WA Metropolitan Division",WA,"Seattle, WA",42644,1492650,46350,52812,190860,12.79,78534,25722,Natural Sciences Managers,Science,152800,1.77,1040,"Software Developers, Applications",Technology,115850,45310,5.98,23.74,Aerospace Engineers,*,8400,11,4.40113172
32.8140177,-96.9488945,"Dallas-Plano-Irving, TX Metropolitan Division",TX,"Dallas, tX",19124,2238630,36530,45764,180510,8.06,75947,30184,Petroleum Engineers,Engineering,139280,1.71,960,Computer User Support Specialists,Technology,47270,18030,1.93,9.99,Computer Hardware Engineers,101740,3110,2.46,1.722896238
33.888116,-84.4642696,"Atlanta-Sandy Springs-Marietta, GA",GA,"Atlanta, GA",12060,2387970,35810,44882,164670,6.9,71672,26790,Architectural and Engineering Managers,Engineering,127620,0.98,3100,"Software Developers, Applications",Technology,92440,17490,1.44,10.62,Mathematical Technicians,*,70,3.81,0.042509261
44.9389111,-93.1177555,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,"Minneapolis, MN",33460,1824720,41130,49977,148550,8.14,74159,24182,Architectural and Engineering Managers,Engineering,134310,1.4,3380,Computer Systems Analysts,Technology,86500,12150,1.7,8.18,Mathematical Technicians,*,180,12.49,0.121171323
39.9525839,-75.1652215,"Philadelphia, PA Metropolitan Division",PA,"Philadelphia, PA",37964,1861870,39890,50306,135810,7.29,77205,26899,Natural Sciences Managers,Science,173250,1.96,1440,Computer Systems Analysts,Technology,90590,11120,1.53,8.19,"Architecture Teachers, Postsecondary",*,340,3.47,0.250349753
37.7749295,-122.4194155,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",CA,"San Francisco, CA",41884,1086660,52560,61251,129670,11.93,87418,26167,Architectural and Engineering Managers,Engineering,162960,1.77,2560,"Software Developers, Applications",Technology,112570,19060,3.45,14.7,Microbiologists,106130,1450,8.7,1.118223182
33.5386523,-112.1859866,"Phoenix-Mesa-Glendale, AZ",AZ,"Phoenix, AZ",38060,1825850,35150,44268,125110,6.85,65307,21040,Architectural and Engineering Managers,Engineering,130990,1.19,2880,Computer Systems Analysts,Technology,85440,11300,1.58,9.03,Forensic Science Technicians,52880,640,3.47,0.511549836
33.1326869,-117.2174239,"San Diego-Carlsbad-San Marcos, CA",CA,"San Diego, CA",41740,1320390,39040,50889,121430,9.2,81004,30115,Natural Sciences Managers,Science,157140,2.4,1250,"Software Developers, Applications",Technology,105880,8260,1.23,6.8,Computer Hardware Engineers,96660,3820,5.12,3.145845343
39.9205411,-105.0866504,"Denver-Aurora-Broomfield, CO",CO,"Denver, CO",19740,1325430,40370,49230,116290,8.77,72455,23225,Architectural and Engineering Managers,Engineering,149570,1.16,2040,"Software Developers, Applications",Technology,100140,14810,2.2,12.74,"Geoscientists, Except Hydrologists and Geographers",106430,1990,5.97,1.711239144
33.7455731,-117.8678338,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",CA,"Orange County, CA",42044,1484500,38790,51483,112750,7.6,84577,33094,Natural Sciences Managers,Science,152380,1.09,640,"Software Developers, Applications",Technology,101930,9360,1.24,8.3,Biomedical Engineers,101760,1150,5.23,1.019955654
