lat,long,MSA,Total_Employment,STEM_Employment,Non-STEM_Employment,STEM_Pay,All_Pay,STEM_Employment_percent,STEM_Pay_Multiple,H-1B_STEM_Employees,H-1B_STEM_Employees_percent,H-1B_STEM_Pay,1-Occupation,1-Pay,2-Occupation,2-Pay,3-Occupation,3-Pay
41.043641,-73.817514,"New York, NY",5242070,351600,4890470,95963,60610,6.71,1.58,42013,11.95,79399,Nuclear Engineers,127720,Aerospace Engineers,118710,Economists,118480
38.9047,-77.0164,"Washington, DC",2367240,331100,2036140,100846,65250,13.99,1.55,12130,3.66,75730,Nuclear Engineers,150440,Petroleum Engineers,140340,Mathematicians,133260
33.77005,-118.193739,"Los Angeles, CA ",3974890,256040,3718850,88671,52620,6.44,1.69,16928,6.61,76797,Aerospace Engineers,121140,"Software Developers, Systems Software",114980,Computer and Information Research Scientists,112160
41.790757,-88.231513,"Chicago, IL",3700620,230860,3469760,79756,49820,6.24,1.6,26063,11.29,68230,Nuclear Engineers,112750,"Physical Scientists, All Other",112460,Computer Network Architects,109550
29.735505,-94.977427,"Houston, TX",2757640,210040,2547600,107601,49830,7.62,2.16,16866,8.03,75963,"Geoscientists, Except Hydrologists and Geographers",155650,Petroleum Engineers,146730,Physicists,144870
42.328448,-71.085433,"Boston, MA",1748940,204750,1544190,92220,62340,11.71,1.48,20204,9.87,79114,Computer and Information Research Scientists,118480,Mathematicians,113730,"Software Developers, Systems Software",113720
47.978985,-122.202079,"Seattle, WA",1449770,200440,1249330,100790,58990,13.83,1.71,20901,10.43,85612,Mathematicians,129360,Physicists,118500,Computer Programmers,115050
32.814018,-96.948894,"Dallas, TX",2149600,173040,1976560,90688,48310,8.05,1.88,24026,13.88,71889,Petroleum Engineers,165910,"Geoscientists, Except Hydrologists and Geographers",116980,Physicists,107370
37.325315,-122.05282,"San Jose, CA",930070,171690,758380,115102,71650,18.46,1.61,48634,28.33,94685,Computer Network Architects,136540,Statisticians,134440,Computer Hardware Engineers,133660
33.888116,-84.46427,"Atlanta, GA",2308040,167240,2140800,80727,48270,7.25,1.67,20541,12.28,69912,Nuclear Engineers,111140,"Physical Scientists, All Other",105440,Agricultural Engineers,105180
39.952584,-75.165222,"Philadelphia, PA",1840120,148110,1692010,87737,51780,8.05,1.69,18377,12.41,70664,Physicists,113470,Computer Network Architects,103980,Actuaries,103430
44.938911,-93.117755,"Minneapolis, MN",1791390,146000,1645390,79918,51050,8.15,1.57,14551,9.97,67790,Computer and Information Research Scientists,120090,Physicists,115080,Materials Scientists,108000
37.538423,-122.259112,"San Francisco, CA",1045700,128130,917570,102665,67410,12.25,1.52,16095,12.56,95586,Chemical Engineers,128550,Computer Network Architects,125680,Statisticians,121060
39.920541,-105.08665,"Denver, CO",1280960,127200,1153760,85744,52110,9.93,1.65,8168,6.42,71293,Petroleum Engineers,137650,Epidemiologists,129830,Computer and Information Research Scientists,114160
33.132687,-117.217424,"San Diego, CA",1290610,122490,1168120,88821,51890,9.49,1.71,8380,6.84,80453,Actuaries,114560,Operations Research Analysts,110640,"Software Developers, Systems Software",110240
33.538652,-112.185987,"Phoenix, AZ",1781210,118940,1662270,79946,45680,6.68,1.75,10293,8.65,67880,Computer and Information Research Scientists,113300,Computer Hardware Engineers,106650,Computer Network Architects,102690
33.7408,-117.8814,"Santa Ana, CA",1452430,115090,1337340,89461,52580,7.92,1.7,6285,5.46,77731,Aerospace Engineers,116910,Physicists,115320,Actuaries,113370
39.401496,-76.601913,"Baltimore, MD",1280700,111590,1169110,89463,51900,8.71,1.72,4495,4.03,69415,"Software Developers, Systems Software",116460,Physicists,115740,Computer Hardware Engineers,114620
42.498994,-83.367717,"Warren, MI",1112130,92950,1019180,79471,47430,8.36,1.68,9412,10.13,66634,"Medical Scientists, Except Epidemiologists",116180,Computer Hardware Engineers,105440,Actuaries,97960
37.701458,-122.144437,"Oakland, CA",1003860,90660,913200,96401,59700,9.03,1.61,11966,13.2,78623,Nuclear Engineers,132950,"Geoscientists, Except Hydrologists and Geographers",117760,Chemical Engineers,115660
29.883275,-97.941394,"Austin, TX",854930,83760,771170,88606,47900,9.8,1.85,6366,7.6,76493,Petroleum Engineers,134850,Computer and Information Research Scientists,118630,Computer Network Architects,114210
38.627003,-90.199404,"St. Louis, MO",1291420,81850,1209570,78144,45600,6.34,1.71,3588,4.38,66824,Computer and Information Research Scientists,103810,Physicists,97810,Computer Hardware Engineers,95810
