SPONSOR,CATEGORY,AIRDATE,AIRTIME,PROGRAM,AFFILIATION,TONE
"PRYOR, MARK",US SENATE,20130531,1545,ELLEN DEGENERES SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1809,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2223,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2327,TONIGHT SHOW/JAY LENO,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1711,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1640,JUDGE JUDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1721,FAMILY FEUD,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1853,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1722,CHANNEL 7 NEWS LIVE AT 5,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1827,CHANNEL 7 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2230,CHANNEL 7 NEWS NIGHTSIDE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1628,DR OZ SHOW,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1643,JEOPARDY,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2313,LATE SHOW/DAVID LTTRMN,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1843,WHEEL OF FORTUNE,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1820,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1709,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2213,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2140,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2147,FOX 16 NEWS AT 9:00PM,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2224,KNWA 10 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1725,KNWA 5PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1825,KNWA 6 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1531,DR PHIL,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1213,THV11 NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,2229,THV11 NEWS AT 10,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1727,THV11 NEWS AT 5,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1810,THV11 NEWS AT 6,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130531,1853,THV11 NEWS AT 6:30,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,2221,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,0659,PAID PROGRAM,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,2223,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,1821,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,1719,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,2128,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,2217,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,2144,NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,1815,KNWA 6 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,2217,KNWA 10 PM NEWS,DEMOCRAT,POSITIVE
"PRYOR, MARK",US SENATE,20130601,2223,THV11 NEWS AT 10,DEMOCRAT,POSITIVE
