school,alumni,student,employer,placement,salary,rank-index2015,rank2015,rank2014
Harvard,2,19,4,35,2,100,1,8
Chicago (Booth),29,10,1,1,6,98.47,2,3
Northwestern (Kellogg),11,6,2,34,5,98.24,3,7
MIT (Sloan),15,18,5,16,3,96.05,4,14
Pennsylvania (Wharton),14,27,6,7,4,95.92,5,2
Columbia ,19,16,3,25,9,95.61,6,5
Stanford,1,14,14,21,1,94.66,7,4
Duke (Fuqua),7,12,7,51,11,94.07,8,1
UC Berkeley (Haas),4,4,11,49,7,91.83,9,19
Michigan (Ross),28,5,8,32,10,91.74,10,9
Yale,9,23,9,37,14,88.07,11,6
Virginia (Darden),18,9,10,13,13,87.8,12,20
UCLA (Anderson),6,3,19,40,16,87.28,13,11
Dartmouth (Tuck),8,17,21,11,8,85.96,14,15
Emory (Goizueta),5,13,29,9,17,82.24,15,18
Cornell (Johnson),10,35,18,30,15,82.07,16,13
North Carolina (Kenan-Flagler),22,11,17,36,23,81.82,17,12
Carnegie Mellon (Tepper),31,25,13,42,12,80.48,18,10
Rice (Jones),3,2,40,46,30,80.31,19,25
Washington (Foster),34,41,12,5,19,79.74,20,37
Texas at Austin (McCombs),13,37,22,24,21,79.68,21,23
Texas A&M (Mays),16,33,24,4,37,79.56,22,42
Georgia Tech (Scheller),30,8,28,10,25,76.78,23,28
NYU (Stern),35,26,23,27,18,76.06,24,22
USC (Marshall),40,22,16,48,34,75.38,25,21
Georgetown (McDonough),26,32,25,41,27,75.27,26,24
Brigham Young (Marriott),24,21,31,23,36,74.17,27,27
Indiana (Kelley),27,15,34,44,22,72.06,28,16
North Carolina State (Jenkins),25,38,20,59,59,71.67,29,54
Michigan State (Broad),39,7,39,6,41,71.41,30,33
Notre Dame (Mendoza),21,42,32,45,24,71.05,31,29
Southern Methodist (Cox),33,28,35,20,35,70.67,32,32
Maryland (Smith),47,1,42,39,40,69.74,33,17
Vanderbilt (Owen),23,30,49,26,26,69.08,34,30
Washington in St. Louis (Olin),17,53,48,2,32,67.54,35,26
Rochester (Simon),43,43,38,8,44,65.16,36,38
William & Mary (Mason),56,44,15,61,56,65.16,37,59
Texas Christian (Neeley),20,34,56,22,47,64.81,38,49
Ohio State (Fisher),51,46,37,17,29,63.65,39,34
George Washington,46,59,26,53,50,63.01,40,53
Florida (Hough),45,31,55,19,45,62.29,41,48
Texas at Dallas (Jindal),57,36,36,18,55,61.82,42,41
Penn State (Smeal),54,66,30,52,20,60.4,43,40
Pittsburgh (Katz),48,39,52,3,53,60.27,44,35
Minnesota (Carlson),68,24,33,56,28,60.24,45,36
Wisconsin,36,40,57,43,39,60.08,46,44
Miami,53,47,27,62,60,58.87,47,72
Boston University (Questrom),37,48,64,31,33,57.87,48,57
Arizona State (W.P. Carey),62,61,41,28,31,56.53,49,67
Howard,38,58,59,38,43,55.81,50,
Georgia (Terry),59,20,58,63,52,53.68,51,50
Oklahoma (Price),12,72,66,33,65,52.91,52,80
Purdue (Krannert),52,56,50,67,38,52.87,53,43
UC Irvine (Merage),50,29,73,58,48,52.41,54,31
Iowa (Tippie),64,45,60,15,46,52.27,55,75
Babson ,32,54,69,55,54,51.94,56,58
Illinois,49,57,65,64,42,50.18,57,45
American (Kogod),41,62,43,70,63,50.11,58,
Utah (Eccles),42,60,70,29,62,49.54,59,61
Buffalo,58,50,46,65,69,49.53,60,39
Northeastern (D'Amore-McKim),55,63,67,12,58,48.85,61,73
Hult,61,64,54,60,49,48.2,62,
Cincinnati (Lindner),44,65,68,14,72,47.65,63,47
Tennessee (Haslam),65,71,45,57,51,46.62,64,55
UC San Diego (Rady),60,49,72,50,64,45.88,65,51
Missouri (Trulaske),71,55,51,69,71,39.97,66,70
Syracuse (Whitman),63,68,47,71,67,39.22,67,69
Chapman (Argyros),74,67,44,47,68,38.54,68,
Mississippi,70,51,71,54,74,38.2,69,76
Willamette (Atkinson),66,73,61,66,73,34.84,70,81
Colorado (Leeds),67,69,74,72,61,31.95,71,83
Fordham (Gabelli),69,70,53,73,66,30.84,72,
Kentucky (Gatton),72,74,63,68,70,28.66,73,
Pepperdine (Graziadio),73,52,62,74,57,27.02,74,63
