movie,studio,studio_code,date,gross,gross2,budget,profit
Batman Begins,Warner Brothers,1,20050615,37.4,3.74,20,2
Superman Returns,Warner Brothers,1,20060628,39.1,3.91,31,2
The Dark Knight,Warner Brothers,1,20080718,100.3,10.03,26,2
Watchmen,Warner Brothers,1,20090306,18.5,1.85,19,1
Green Lantern,Warner Brothers,1,20110617,22.1,2.21,27.5,1
The Dark Knight Rises,Warner Brothers,1,20120720,107.9,10.79,32.5,2
Man Of Steel,Warner Brothers,1,20130613,66.8,6.68,30,2
Iron Man,Marvel,2,20080502,58.5,5.85,23,2
The Incredible Hulk,Marvel,2,20080613,26.3,2.63,20,2
Iron Man 2,Marvel,2,20100507,62.2,6.22,25.5,2
Thor,Marvel,2,20110506,44.9,4.49,21.5,2
Captain America: The First Avenger,Marvel,2,20110722,37,3.7,20,2
Marvel's The Avengers,Marvel,2,20120504,151.4,15.14,30,2
Iron Man 3,Marvel,2,20130503,121.4,12.14,27.5,2
Thor: The Dark World,Marvel,2,20131108,63.4,6.34,23.5,2
Captain America: The Winter Soldier,Marvel,2,20140404,71.4,7.14,23.5,2
Guardians Of The Galaxy,Marvel,2,20140801,77.3,7.73,23,2
