movie,studio,studio_code,date,gross,budget,profit
Batman Begins,Warner Brothers,1,2005,374,200,174
Superman Returns,Warner Brothers,1,2006,391,310,81
The Dark Knight,Warner Brothers,1,2008,1003,260,743
Watchmen,Warner Brothers,1,2009,185,190,-5
Green Lantern,Warner Brothers,1,2011,222,275,-53
The Dark Knight Rises,Warner Brothers,1,2012,1079,325,754
Man Of Steel,Warner Brothers,1,2013,668,300,368
Iron Man,Marvel,2,2008,585,230,355
The Incredible Hulk,Marvel,2,2008,263,200,63
Iron Man 2,Marvel,2,2010,622,255,367
Thor,Marvel,2,2011,449,215,234
Captain America: The First Avenger,Marvel,2,2011,371,200,171
Marvel's The Avengers,Marvel,2,2012,1514,300,1214
Iron Man 3,Marvel,2,2013,1215,275,940
Thor: The Dark World,Marvel,2,2013,635,235,400
Captain America: The Winter Soldier,Marvel,2,2014,715,235,480
Guardians Of The Galaxy,Marvel,2,2014,774,230,544
