region,rate
nebraska,2.7
north dakota,3
utah,3.6
vermont,3.6
hawaii,3.7
new hampshire,3.7
iowa,3.8
south dakota,3.8
minnesota,4
montana,4
idaho,4.1
wyoming,4.1
texas,4.2
colorado,4.3
oklahoma,4.5
kansas,4.6
maine,4.6
wisconsin,4.6
delaware,4.7
indiana,4.7
massachusetts,4.7
virginia,4.8
ohio,5
kentucky,5.2
maryland,5.2
michigan,5.3
washington,5.3
connecticut,5.4
florida,5.4
new york,5.4
pennsylvania,5.4
arkansas,5.6
tennessee,5.7
illinois,5.8
missouri,5.8
rhode island,5.8
new jersey,5.9
north carolina,5.9
oregon,5.9
georgia,6
arizona,6.1
alabama,6.2
california,6.2
louisiana,6.2
south carolina,6.4
mississippi,6.5
new mexico,6.5
alaska,6.7
district of columbia,6.8
nevada,6.8
west virginia,7.5
