region,Communicable,Non-communicable,GNI
Singapore,66,265,76850
Norway,25,336,66520
Switzerland,14,292,56580
USA,31,413,53960
Saudi Arabia,71,549,53780
Sweden,19,333,44760
Germany,22,365,44540
Denmark,29,406,44460
Austria,13,360,43840
Netherlands,26,355,43210
Canada,23,318,42610
Australia,14,303,42540
Belgium,28,357,40280
Iceland,14,312,38870
Finland,9,367,38480
Japan,34,244,37630
France,21,313,37580
United Kingdom,29,359,35760
Italy,15,304,34100
South Korea,34,302,33440
Israel,31,311,32140
Spain,19,323,31850
Cyprus,16,333,28830
Slovenia,15,369,28130
Malta,24,364,28030
Trinidad and Tobago,80,705,26210
Greece,24,365,25630
Czech Republic,27,461,25530
Slovakia,35,533,25500
Portugal,40,343,25360
Lithuania,27,580,24500
Estonia,19,511,24230
Qatar,28,407,23860
Equatorial Guinea,757,729,23240
Russia,74,790,23200
Latvia,26,624,22970
Malaysia,117,563,22460
Poland,23,494,22300
Chile,36,367,21030
Kazakhstan,55,950,20570
Croatia,12,496,20370
Panama,86,373,19290
Uruguay,46,446,18930
Turkey,44,555,18760
Romania,39,612,18060
Venezuela,58,411,17890
Lebanon,30,385,17390
Gabon,589,505,17220
Mauritius,62,577,17220
Belarus,28,683,16940
Azerbaijan,71,664,16180
Mexico,58,468,16110
Suriname,84,375,15860
Iran,56,569,15600
Botswana,555,612,15500
Iraq,87,715,15220
Bulgaria,33,638,15200
Brazil,93,514,14750
Montenegro,19,572,14600
Costa Rica,31,392,13570
Thailand,123,449,13510
Algeria,98,710,12990
Turkmenistan,116,1025,12920
South Africa,612,711,12240
Serbia,20,657,12020
Colombia,55,377,11890
China,41,576,11850
Jordan,53,640,11660
Macedonia,17,637,11520
Peru,121,364,11360
Dominican Republic,77,396,11150
Tunisia,65,509,10960
Egypt,74,782,10850
Albania,46,672,10520
Ecuador,97,410,10310
Maldives,59,487,9890
Bosnia and Herzegovina,20,513,9820
Namibia,357,580,9590
Sri Lanka,75,501,9470
Indonesia,162,680,9260
Ukraine,69,749,8960
Mongolia,83,966,8810
Jamaica,97,519,8480
Belize,105,471,8160
Armenia,45,848,8140
Philippines,227,720,7820
Paraguay,77,486,7640
Fiji,105,804,7610
El Salvador,96,475,7490
Bhutan,187,573,7210
Guatemala,213,409,7130
Georgia,39,615,7040
Morocco,132,708,7000
Angola,873,768,6770
Guyana,177,1024,6550
Timor-Leste,344,671,6410
Cabo Verde,142,482,6220
Swaziland,884,702,6220
Bolivia,226,635,5750
Nigeria,866,674,5360
India,253,682,5350
Uzbekistan,86,811,5340
Moldova,45,788,5190
Viet Nam,96,435,5030
Pakistan,296,669,4920
Congo,667,632,4720
Laos,329,680,4570
Nicaragua,75,547,4440
Honduras,118,441,4270
Ghana,476,670,3880
Yemen,515,627,3820
Lesotho,1110,672,3320
Kyrgyzstan,66,835,3070
Zambia,764,587,3070
Cote d'Ivoire,861,794,2900
Cambodia,227,394,2890
Mauritania,619,555,2850
Bangladesh,235,549,2810
Cameroon,769,675,2660
Tajikistan,148,753,2500
Papua New Guinea,554,693,2430
Sudan,496,551,2370
Nepal,252,678,2260
Kenya,657,515,2250
Senegal,588,558,2240
South Sudan,831,623,2190
Afghanistan,363,846,2000
Chad,1071,713,2000
Solomon Islands,231,710,1810
Benin,577,761,1780
Sierra Leone,1327,964,1750
Tanzania,584,570,1750
Haiti,405,725,1710
Gambia,590,630,1620
Burkina Faso,648,784,1560
Comoros,495,695,1560
Zimbabwe,711,599,1560
Mali,588,866,1540
Rwanda,402,585,1430
Uganda,697,664,1370
Ethiopia,559,476,1350
Madagascar,430,649,1350
Guinea-Bissau,870,765,1240
Eritrea,506,672,1180
Togo,682,679,1180
Guinea,680,681,1160
Mozambique,998,594,1040
Niger,740,649,910
Burundi,705,729,820
Liberia,609,657,790
Malawi,778,655,750
Dem. Rep. of the Congo,921,724,680
Central African Republic,1212,551,600
Argentina,69,467,
Bahamas,122,465,
Bahrain,48,506,
Barbados,61,404,
Brunei,56,475,
Cuba,33,422,
North Korea,117,751,
Djibouti,626,631,
Hungary,18,602,
Ireland,22,344,
Kuwait,82,406,
Libya,53,550,
Luxembourg,21,317,
Myanmar,316,709,
New Zealand,18,314,
Oman,84,478,
Somalia,927,551,
Syria,41,573,
UAE,36,547,
