Country,lat,long,comm,Non-comm,GNI
Afghanistan,33.93911,67.709953,363,846,2000
Albania,41.153332,20.168331,46,672,10520
Algeria,28.033886,1.659626,98,710,12990
Angola,-11.202692,17.873887,873,768,6770
Argentina,-38.416097,-63.616672,69,467,
Armenia,40.069099,45.038189,45,848,8140
Australia,-25.274398,133.775136,14,303,42540
Austria,47.516231,14.550072,13,360,43840
Azerbaijan,40.143105,47.576927,71,664,16180
Bahamas,25.03428,-77.39628,122,465,
Bahrain,26.0667,50.5577,48,506,
Bangladesh,23.684994,90.356331,235,549,2810
Barbados,13.193887,-59.543198,61,404,
Belarus,53.709807,27.953389,28,683,16940
Belgium,50.503887,4.469936,28,357,40280
Belize,17.189877,-88.49765,105,471,8160
Benin,9.30769,2.315834,577,761,1780
Bhutan,27.514162,90.433601,187,573,7210
Bolivia,-16.290154,-63.588653,226,635,5750
Bosnia and Herzegovina,43.915886,17.679076,20,513,9820
Botswana,-22.328474,24.684866,555,612,15500
Brazil,-14.235004,-51.92528,93,514,14750
Brunei,4.535277,114.727669,56,475,
Bulgaria,42.733883,25.48583,33,638,15200
Burkina Faso,12.238333,-1.561593,648,784,1560
Burundi,-3.373056,29.918886,705,729,820
Cabo Verde,15.120142,-23.605172,142,482,6220
Cambodia,12.565679,104.990963,227,394,2890
Cameroon,7.369722,12.354722,769,675,2660
Canada,56.130366,-106.346771,23,318,42610
Central African Republic,6.611111,20.939444,1212,551,600
Chad,15.454166,18.732207,1071,713,2000
Chile,-35.675147,-71.542969,36,367,21030
China,35.86166,104.195397,41,576,11850
Colombia,4.570868,-74.297333,55,377,11890
Comoros,-11.6455,43.3333,495,695,1560
Congo,-0.228021,15.827659,667,632,4720
Costa Rica,9.748917,-83.753428,31,392,13570
Cote d'Ivoire,7.539989,-5.54708,861,794,2900
Croatia,45.1,15.2,12,496,20370
Cuba,21.521757,-77.781167,33,422,
Cyprus,35.126413,33.429859,16,333,28830
Czech Republic,49.817492,15.472962,27,461,25530
Dem. Rep. of the Congo,9.007017,38.769789,921,724,680
Denmark,56.26392,9.501785,29,406,44460
Djibouti,11.825138,42.590275,626,631,
Dominican Republic,18.735693,-70.162651,77,396,11150
Ecuador,-1.831239,-78.183406,97,410,10310
Egypt,26.820553,30.802498,74,782,10850
El Salvador,13.794185,-88.89653,96,475,7490
Equatorial Guinea,1.650801,10.267895,757,729,23240
Eritrea,15.179384,39.782334,506,672,1180
Estonia,58.595272,25.013607,19,511,24230
Ethiopia,9.145,40.489673,559,476,1350
Fiji,-17.713371,178.065032,105,804,7610
Finland,61.92411,25.748151,9,367,38480
France,46.227638,2.213749,21,313,37580
Gabon,-0.803689,11.609444,589,505,17220
Gambia,13.443182,-15.310139,590,630,1620
Georgia,42.184575,43.588341,39,615,7040
Germany,51.165691,10.451526,22,365,44540
Ghana,7.946527,-1.023194,476,670,3880
Greece,39.074208,21.824312,24,365,25630
Guatemala,15.783471,-90.230759,213,409,7130
Guinea,9.945587,-9.696645,680,681,1160
Guinea-Bissau,11.803749,-15.180413,870,765,1240
Guyana,4.860416,-58.93018,177,1024,6550
Haiti,18.971187,-72.285215,405,725,1710
Honduras,15.199999,-86.241905,118,441,4270
Hungary,47.162494,19.503304,18,602,
Iceland,64.963051,-19.020835,14,312,38870
India,20.593684,78.96288,253,682,5350
Indonesia,-0.789275,113.921327,162,680,9260
Iran,32.427908,53.688046,56,569,15600
Iraq,33.223191,43.679291,87,715,15220
Ireland,53.41291,-8.24389,22,344,
Israel,31.046051,34.851612,31,311,32140
Italy,41.87194,12.56738,15,304,34100
Jamaica,18.109581,-77.297508,97,519,8480
Japan,36.204824,138.252924,34,244,37630
Jordan,30.585164,36.238414,53,640,11660
Kazakhstan,48.019573,66.923684,55,950,20570
Kenya,-0.023559,37.906193,657,515,2250
Kuwait,29.31166,47.481766,82,406,
Kyrgyzstan,41.20438,74.766098,66,835,3070
Laos,19.85627,102.495496,329,680,4570
